Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
0,2601,0,40232,0,0,0.502845237483483,0,100
1,2193,0,40467,0,34.58,0.50737060988456,0,100
2,1942,0,35333,0.05,31.065,0.502334728203299,0,99
3,1744,0,29573.5,0.22,26.195,0.495870005698015,0,95
4,1586,0,25549.5,0.71,16.605,0.497595096620953,0,86
5,1490,0,22787.5,1.56,10.4,0.499333490272721,0,76
6,1428,0,20697,2.34,7.495,0.500908722273095,0,67
7,1358,0,18956.5,3.04,7.06,0.504458265914305,0,63
8,1277,0,17557.5,3.52,5.14,0.499071700165933,1,60
9,1202,0,16415.5,4.67,1.76,0.500052543151733,4,55
10,1194,0,15436.5,5.7,0.985,0.502832077216299,9,50
11,1155,0,14745.5,6.79,-0.77,0.498952698261472,12,44
12,1074,0,13820.5,7.35,-1.01,0.504062616530536,16,41
13,1009,0,12790,8.3,-1.355,0.502628889853847,19,37
14,960,0,11797.5,8.94,-2.01,0.496390752529108,23,35
15,920,10.13,11158,10.13,-7.445,0.498391805154587,30,31
16,979,10.13,10182.5,10.61,-0.095,0.499436707572723,31,31
17,976,10.13,9661.5,10.93,-0.085,0.502518302783626,34,28
18,975,10.13,9260,11.53,1.565,0.506471983963001,39,28
19,991,10.13,9392.5,11.89,-0.965,0.501974857440803,40,30
20,1011,10.13,9675,12.23,-1.845,0.502008915762855,45,31
21,984,10.13,9648,12.53,0.06,0.497941075917514,47,31
22,977,10.13,9271.5,12.62,2.71,0.497364028155539,47,31
23,968,10.13,9045.5,12.95,0.925,0.50239099347143,49,31
24,990,10.13,9397,12.89,-3.385,0.493301364204179,50,32
25,1000,10.13,9478,13.2,0.41,0.493704694424533,56,32
26,1027,10.13,9850,13.44,-1.965,0.492972347502582,59,32
27,1027,10.13,9917.5,13.57,0.24,0.498487611519058,59,31
28,1057,10.13,9870,13.49,1.86,0.496901017633535,61,31
29,1098,10.13,10091,13.45,2.105,0.501735048331164,58,30
30,1094,10.13,10449.5,13.34,1.94,0.501302095117961,58,30
31,1102,10.13,10971.5,13.14,0.54,0.501502922730167,55,30
32,1094,10.13,11244,13.11,2.125,0.498579143727622,55,31
33,1085,10.13,11025,12.83,5.15,0.494928412711447,54,33
34,1137,10.13,11244,12.63,1.87,0.496712343348034,53,34
35,1160,10.13,11633,12.64,1.485,0.497718160465968,53,33
36,1144,10.13,11841,12.74,2.625,0.501362901485219,53,32
37,1155,10.13,12018.5,12.74,2.48,0.504070145137837,54,34
38,1149,10.13,12102,12.78,3.455,0.503888596301682,54,34
39,1126,10.13,12179,13.05,2.905,0.511497550252254,56,33
40,1138,10.13,12013.5,13.11,5.075,0.509260012886111,59,33
41,1145,10.13,11976,12.95,4.09,0.504735480082044,59,34
42,1154,10.13,12015.5,12.98,3.84,0.50972323725196,59,33
43,1164,10.13,12129.5,12.93,5.195,0.511441556523574,59,34
44,1149,10.13,12394.5,12.87,1.82,0.508975565781672,58,34
45,1169,10.13,12520,12.98,3.07,0.516230648229308,58,33
46,1161,10.13,12534.5,12.9,3.115,0.516230648229308,57,33
