period,K,TotalBM,avgMinCut,Payoffs,Reference-trees,GreenPatches
0,0,40249,0,0,0.517454223,2601
1,0,40700.5,0,31.565,0.51583172,2195
2,0,35804.5,0.3,28.86,0.512743539,1948
3,0,30245,0.62,23.105,0.519319514,1767
4,0,26236,1.16,15.715,0.521230316,1620
5,0,22953,1.55,13.75,0.52350299,1477
6,0,20582.5,2.01,8.41,0.522044824,1380
7,0,18448.5,2.67,6.6,0.521131123,1286
8,0,16943,3.71,2.23,0.522022439,1222
9,0,15708.5,4.71,2.28,0.520315293,1189
10,0,14921.5,5.57,-2.11,0.527947774,1150
11,0,14373.5,6.48,-3.02,0.527096158,1130
12,0,14045.5,7.3,-5.37,0.530013116,1110
13,0,13401.5,8.08,-2.81,0.525430498,1075
14,0,12828,8.81,-3.86,0.525404066,1054
15,0,12556.5,9.45,-6.04,0.527405816,1038
16,0,12155.5,9.94,-6.16,0.519532344,977
17,0,11450.5,10.33,-5.32,0.516945437,938
18,11.12,10916,11.12,-6.07,0.516797338,954
19,11.12,9302,11.25,8.155,0.519475729,975
20,11.12,9419.5,11.97,-2.7,0.517032819,1002
21,11.12,9388.5,12.5,0.68,0.520793941,984
22,11.12,9448,12.84,0.735,0.519214333,1004
23,11.12,9838.5,13.28,-0.995,0.521233319,1054
24,11.12,10448.5,13.35,-1.7,0.519107896,1093
25,11.12,10903.5,13.38,1.06,0.524279689,1114
26,11.12,11498,13.91,0.35,0.528158097,1145
27,11.12,11778.5,13.76,3.29,0.529819829,1166
28,11.12,11986.5,13.89,3.29,0.533423627,1139
29,11.12,11958,13.99,5.26,0.534954337,1136
30,11.12,11960.5,13.82,3.4,0.534516088,1133
31,11.12,11814.5,13.84,6.615,0.536792685,1156
32,11.12,11543,14.05,7.235,0.538103762,1122
33,11.12,11469.5,14.29,5.475,0.544157777,1131
34,11.12,11251.5,14.18,6.215,0.544394591,1085
35,11.12,11297.5,14.43,2.025,0.549308363,1099
36,11.12,11718,14.55,0.325,0.549170349,1137
37,11.12,11950.5,14.42,2.515,0.54762063,1168
38,11.12,12298.5,14.12,3.17,0.54588504,1188
39,11.12,12620.5,13.91,3.875,0.541294259,1187
40,11.12,12866,13.77,5.23,0.538067992,1189
41,11.12,12829,13.42,5.73,0.541673187,1186
42,11.12,13334,13.39,0.46,0.544024038,1218
43,11.12,13562.5,13.33,3.43,0.550224889,1234
44,11.12,13666.5,13.3,5.025,0.553331203,1241
45,11.12,13704.5,13.01,6.11,0.550026178,1242
46,11.12,14001,12.92,2.91,0.547092831,1257
47,11.12,13893,12.81,7.535,0.549154099,1251
48,11.12,13719,12.64,7.59,0.542131611,1230
49,11.12,13570.5,12.47,7.7,0.538044893,1237
50,11.12,13524.5,12.35,6.65,0.537284286,1211
51,11.12,13648,12.48,3.9,0.538085494,1224
52,11.12,13547,12.26,5.27,0.538661389,1202
53,11.12,12796,12.31,11.05,0.542241834,1181
54,11.12,12791,12.21,5.445,0.539943752,1207
55,11.12,12803,12.13,6.78,0.54094136,1216
56,11.12,13127.5,12.18,4.585,0.542113158,1242
57,11.12,13409,12.44,5.37,0.543482532,1243
