"export-plot data (NetLogo 6.0.4)"
"Endogenous Institution_exporting.nlogo"
"12/28/2020 09:27:47:612 -0500"

"MODEL SETTINGS"
"high-tolerance","cost","initial-loggers","max-tree-growth","reference-threshold"
"false","5","100","20","0.5"

"""K"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","19.9","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","10000"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"6","0","0","true"
"7","0","0","true"
"8","0","0","true"
"9","0","0","true"
"10","0","0","true"
"11","0","0","true"
"12","0","0","true"
"13","7.3","0","true"
"14","7.54","0","true"
"15","8.15","0","true"
"16","8.94","0","true"
"17","9.19","0","true"
"18","9.36","0","true"
"19","9.55","0","true"
"20","9.63","0","true"
"21","9.78","0","true"
"22","9.98","0","true"
"23","10.15","0","true"
"24","10.1","0","true"
"25","10.4","0","true"
"26","10.5","0","true"
"27","10.51","0","true"
"28","10.25","0","true"
"29","10.13","0","true"
"30","10.11","0","true"
"31","10.04","0","true"
"32","9.85","0","true"
"33","9.68","0","true"
"34","9.58","0","true"
"35","9.52","0","true"
"36","9.38","0","true"
"37","9.42","0","true"
"38","9.55","0","true"
"39","9.53","0","true"
"40","9.63","0","true"
"41","9.75","0","true"
"42","9.59","0","true"
"43","9.41","0","true"
"44","9.44","0","true"
"45","9.25","0","true"
"46","9.37","0","true"
"47","9.39","0","true"
"48","9.3","0","true"
"49","9.38","0","true"
"50","9.52","0","true"
"51","9.35","0","true"
"52","9.25","0","true"
"53","9.21","0","true"
"54","9.31","0","true"
"55","9.03","0","true"
"56","8.96","0","true"
"57","9.1","0","true"
"58","9.28","0","true"
"59","9.18","0","true"
"60","9.19","0","true"
"61","9.43","0","true"
"62","9.36","0","true"
"63","9.58","0","true"
"64","9.46","0","true"
"65","9.38","0","true"
"66","9.48","0","true"
"67","9.56","0","true"
"68","9.82","0","true"
"69","9.79","0","true"
"70","9.96","0","true"
"71","9.8","0","true"
"72","9.67","0","true"
"73","9.62","0","true"
"74","9.83","0","true"
"75","9.83","0","true"
"76","10.16","0","true"
"77","10.03","0","true"
"78","10.05","0","true"
"79","9.88","0","true"
"80","9.9","0","true"
"81","9.49","0","true"
"82","9.55","0","true"
"83","9.27","0","true"
"84","9.31","0","true"
"85","9.4","0","true"
"86","9.28","0","true"
"87","8.88","0","true"
"88","8.95","0","true"
"89","8.98","0","true"
"90","9","0","true"
"91","9.07","0","true"
"92","9.06","0","true"
"93","9.24","0","true"
"94","9.75","0","true"
"95","9.97","0","true"
"96","10.37","0","true"
"97","10.61","0","true"
"98","10.72","0","true"
"99","10.71","0","true"
"100","10.68","0","true"
"101","10.64","0","true"
"102","10.9","0","true"
"103","10.93","0","true"
"104","10.78","0","true"
"105","10.76","0","true"
"106","10.85","0","true"
"107","11.14","0","true"
"108","11.11","0","true"
"109","11.37","0","true"
"110","11.48","0","true"
"111","11.45","0","true"
"112","11.49","0","true"
"113","11.45","0","true"
"114","11.4","0","true"
"115","11.4","0","true"
"116","11.34","0","true"
"117","11.12","0","true"
"118","10.98","0","true"
"119","10.79","0","true"
"120","10.86","0","true"
"121","10.9","0","true"
"122","10.96","0","true"
"123","10.83","0","true"
"124","10.87","0","true"
"125","10.84","0","true"
"126","10.95","0","true"
"127","11","0","true"
"128","11.11","0","true"
"129","11.04","0","true"
"130","10.87","0","true"
"131","10.77","0","true"
"132","10.97","0","true"
"133","11.11","0","true"
"134","10.91","0","true"
"135","11.08","0","true"
"136","11.2","0","true"
"137","11.2","0","true"
"138","11","0","true"
"139","10.83","0","true"
"140","10.98","0","true"
"141","10.97","0","true"
"142","10.97","0","true"
"143","10.84","0","true"
"144","10.85","0","true"
"145","11.09","0","true"
"146","11.14","0","true"
"147","11.1","0","true"
"148","11.16","0","true"
"149","11.35","0","true"
"150","11.25","0","true"
"151","11.12","0","true"
"152","10.97","0","true"
"153","10.99","0","true"
"154","10.97","0","true"
"155","10.84","0","true"
"156","10.79","0","true"
"157","11.04","0","true"
"158","10.81","0","true"
"159","10.76","0","true"
"160","10.83","0","true"
"161","10.77","0","true"
"162","11","0","true"
"163","11.03","0","true"
"164","10.82","0","true"
"165","10.68","0","true"
"166","10.54","0","true"
"167","10.54","0","true"
"168","10.51","0","true"
"169","10.71","0","true"
"170","10.97","0","true"
"171","10.94","0","true"
"172","10.73","0","true"
"173","10.67","0","true"
"174","10.63","0","true"
"175","10.68","0","true"
"176","10.58","0","true"
"177","10.58","0","true"
"178","10.44","0","true"
"179","10.36","0","true"
"180","10.32","0","true"
"181","9.86","0","true"
"182","9.7","0","true"
"183","9.49","0","true"
"184","9.46","0","true"
"185","9.36","0","true"
"186","9.44","0","true"
"187","9.62","0","true"
"188","9.92","0","true"
"189","10.03","0","true"
"190","10.16","0","true"
"191","10.33","0","true"
"192","10.88","0","true"
"193","11.23","0","true"
"194","11.25","0","true"
"195","11.31","0","true"
"196","11.5","0","true"
"197","11.56","0","true"
"198","11.61","0","true"
"199","11.45","0","true"
"200","11.24","0","true"
"201","11.2","0","true"
"202","11.32","0","true"
"203","11.22","0","true"
"204","11.13","0","true"
"205","11.17","0","true"
"206","10.76","0","true"
"207","10.38","0","true"
"208","9.78","0","true"
"209","9.48","0","true"
"210","8.9","0","true"
"211","8.26","0","true"
"212","8.2","0","true"
"213","7.67","0","true"
"214","7.56","0","true"
"215","7.86","0","true"
"216","7.97","0","true"
"217","8.53","0","true"
"218","8.86","0","true"
"219","9.19","0","true"
"220","9.33","0","true"
"221","9.52","0","true"
"222","9.95","0","true"
"223","10.2","0","true"
"224","10.29","0","true"
"225","10.27","0","true"
"226","10.29","0","true"
"227","10.11","0","true"
"228","10.07","0","true"
"229","10.1","0","true"
"230","10.11","0","true"
"231","10.41","0","true"
"232","10.27","0","true"
"233","10.4","0","true"
"234","10.34","0","true"
"235","10.59","0","true"
"236","10.53","0","true"
"237","10.69","0","true"
"238","10.74","0","true"
"239","10.82","0","true"
"240","11.13","0","true"
"241","11.08","0","true"
"242","11.07","0","true"
"243","11.06","0","true"
"244","10.94","0","true"
"245","11.04","0","true"
"246","10.81","0","true"
"247","10.85","0","true"
"248","10.79","0","true"
"249","10.55","0","true"
"250","10.68","0","true"
"251","10.52","0","true"
"252","10.74","0","true"
"253","10.71","0","true"
"254","10.4","0","true"
"255","9.95","0","true"
"256","10.05","0","true"
"257","9.62","0","true"
"258","9.33","0","true"
"259","9.12","0","true"
"260","8.77","0","true"
"261","8.6","0","true"
"262","8.51","0","true"
"263","8.8","0","true"
"264","8.92","0","true"
"265","9.1","0","true"
"266","9.19","0","true"
"267","9.5","0","true"
"268","9.56","0","true"
"269","9.77","0","true"
"270","10.03","0","true"
"271","10","0","true"
"272","10.01","0","true"
"273","10.04","0","true"
"274","9.77","0","true"
"275","9.52","0","true"
"276","9.1","0","true"
"277","8.62","0","true"
"278","8.14","0","true"
"279","7.84","0","true"
"280","7.42","0","true"
"281","6.94","0","true"
"282","7.15","0","true"
"283","6.69","0","true"
"284","6.5","0","true"
"285","6.5","0","true"
"286","6.5","0","true"
"287","6.5","0","true"
"288","6.5","0","true"
"289","6.5","0","true"
"290","6.5","0","true"
"291","6.5","0","true"
"292","6.5","0","true"
"293","6.5","0","true"
"294","6.5","0","true"
"295","6.5","0","true"
"296","6.5","0","true"
"297","6.5","0","true"
"298","10.7","0","true"
"299","10.73","0","true"
"300","10.75","0","true"
"301","10.91","0","true"
"302","10.82","0","true"
"303","10.76","0","true"
"304","10.62","0","true"
"305","10.53","0","true"
"306","10.48","0","true"
"307","10.15","0","true"
"308","10.06","0","true"
"309","9.71","0","true"
"310","9.58","0","true"
"311","9.45","0","true"
"312","9.41","0","true"
"313","9.21","0","true"
"314","9.03","0","true"
"315","9.04","0","true"
"316","8.95","0","true"
"317","8.4","0","true"
"318","8.03","0","true"
"319","8.09","0","true"
"320","7.64","0","true"
"321","7.31","0","true"
"322","6.65","0","true"
"323","6.65","0","true"
"324","6.65","0","true"
"325","6.65","0","true"
"326","6.65","0","true"
"327","6.65","0","true"
"328","6.65","0","true"
"329","6.65","0","true"
"330","6.65","0","true"
"331","6.65","0","true"
"332","6.65","0","true"
"333","6.65","0","true"
"334","6.65","0","true"
"335","6.65","0","true"
"336","6.65","0","true"
"337","6.65","0","true"
"338","6.65","0","true"
"339","6.65","0","true"
"340","6.65","0","true"
"341","6.65","0","true"
"342","9.86","0","true"
"343","9.84","0","true"
"344","10.03","0","true"
"345","10.03","0","true"
"346","10.12","0","true"
"347","10.12","0","true"
"348","10.32","0","true"
"349","10.2","0","true"
"350","10.02","0","true"
"351","10.04","0","true"
"352","10.13","0","true"
"353","10.12","0","true"
"354","9.99","0","true"
"355","10.18","0","true"
"356","10.36","0","true"
"357","10.2","0","true"
"358","10.2","0","true"
"359","10.39","0","true"
"360","10.41","0","true"
"361","10.52","0","true"
"362","10.83","0","true"
"363","10.91","0","true"
"364","10.85","0","true"
"365","10.74","0","true"
"366","10.7","0","true"
"367","10.56","0","true"
"368","10.4","0","true"
"369","10.13","0","true"
"370","9.91","0","true"
"371","9.67","0","true"
"372","9.49","0","true"
"373","9.1","0","true"
