sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100
48,97,47,101,52,100,49,103,53,103,42,102,50,104,47,102,44,104,48,105
50,98,45,98,51,100,47,102,54,105,39,107,49,106,46,109,42,103,44,103
53,99,44,100,49,93,48,101,53,99,40,98,48,106,45,108,42,101,44,107
52,102,43,102,45,97,48,103,54,108,40,100,48,99,47,107,43,108,38,109
57,100,39,101,47,98,49,92,53,106,41,97,48,106,44,111,43,102,39,111
55,103,40,106,49,92,50,89,52,100,38,97,47,104,45,109,44,98,40,109
53,101,40,107,47,89,50,81,50,99,38,102,44,111,42,100,44,103,40,105
56,86,42,102,50,82,49,74,52,88,39,98,42,107,45,100,42,96,42,103
52,79,43,90,51,75,49,74,53,81,39,94,45,97,45,94,42,100,43,82
51,72,43,79,52,73,49,78,56,79,40,90,48,94,46,81,41,92,44,76
49,64,43,70,53,68,52,76,53,73,37,78,46,85,46,80,45,88,42,61
51,62,42,63,53,64,53,70,55,70,36,74,47,77,45,67,40,76,38,57
52,60,41,63,52,62,53,67,55,69,34,70,45,69,43,61,39,77,39,46
54,59,42,48,52,58,53,65,57,59,36,61,44,60,42,53,40,72,40,49
54,57,42,48,49,58,57,52,58,61,36,58,45,58,39,50,42,64,39,45
56,47,44,45,52,55,59,46,55,55,35,55,45,55,41,50,45,63,38,45
60,40,45,47,54,50,58,40,56,50,36,49,45,48,44,50,44,50,39,38
59,40,46,39,55,45,57,37,59,46,37,47,47,46,46,47,43,47,38,33
63,37,48,33,55,44,58,38,59,42,36,43,49,44,47,43,41,44,39,31
65,33,48,28,56,40,61,34,59,42,34,40,49,47,50,36,42,38,40,31
65,32,50,22,57,38,61,33,60,37,33,40,50,39,50,37,44,34,41,30
68,28,52,22,59,35,65,24,61,37,32,37,52,33,51,36,43,36,41,27
