period,K
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,7.3
14,7.54
15,8.15
16,8.94
17,9.19
18,9.36
19,9.55
20,9.63
21,9.78
22,9.98
23,10.15
24,10.1
25,10.4
26,10.5
27,10.51
28,10.25
29,10.13
30,10.11
31,10.04
32,9.85
33,9.68
34,9.58
35,9.52
36,9.38
37,9.42
38,9.55
39,9.53
40,9.63
41,9.75
42,9.59
43,9.41
44,9.44
45,9.25
46,9.37
47,9.39
48,9.3
49,9.38
50,9.52
51,9.35
52,9.25
53,9.21
54,9.31
55,9.03
56,8.96
57,9.1
58,9.28
59,9.18
60,9.19
61,9.43
62,9.36
63,9.58
64,9.46
65,9.38
66,9.48
67,9.56
68,9.82
69,9.79
70,9.96
71,9.8
72,9.67
73,9.62
74,9.83
75,9.83
76,10.16
77,10.03
78,10.05
79,9.88
80,9.9
81,9.49
82,9.55
83,9.27
84,9.31
85,9.4
86,9.28
87,8.88
88,8.95
89,8.98
90,9
91,9.07
92,9.06
93,9.24
94,9.75
95,9.97
96,10.37
97,10.61
98,10.72
99,10.71
100,10.68
101,10.64
102,10.9
103,10.93
104,10.78
105,10.76
106,10.85
107,11.14
108,11.11
109,11.37
110,11.48
111,11.45
112,11.49
113,11.45
114,11.4
115,11.4
116,11.34
117,11.12
118,10.98
119,10.79
120,10.86
121,10.9
122,10.96
123,10.83
124,10.87
125,10.84
126,10.95
127,11
128,11.11
129,11.04
130,10.87
131,10.77
132,10.97
133,11.11
134,10.91
135,11.08
136,11.2
137,11.2
138,11
139,10.83
140,10.98
141,10.97
142,10.97
143,10.84
144,10.85
145,11.09
146,11.14
147,11.1
148,11.16
149,11.35
150,11.25
151,11.12
152,10.97
153,10.99
154,10.97
155,10.84
156,10.79
157,11.04
158,10.81
159,10.76
160,10.83
161,10.77
162,11
163,11.03
164,10.82
165,10.68
166,10.54
167,10.54
168,10.51
169,10.71
170,10.97
171,10.94
172,10.73
173,10.67
174,10.63
175,10.68
176,10.58
177,10.58
178,10.44
179,10.36
180,10.32
181,9.86
182,9.7
183,9.49
184,9.46
185,9.36
186,9.44
187,9.62
188,9.92
189,10.03
190,10.16
191,10.33
192,10.88
193,11.23
194,11.25
195,11.31
196,11.5
197,11.56
198,11.61
199,11.45
200,11.24
201,11.2
202,11.32
203,11.22
204,11.13
205,11.17
206,10.76
207,10.38
208,9.78
209,9.48
210,8.9
211,8.26
212,8.2
213,7.67
214,7.56
215,7.86
216,7.97
217,8.53
218,8.86
219,9.19
220,9.33
221,9.52
222,9.95
223,10.2
224,10.29
225,10.27
226,10.29
227,10.11
228,10.07
229,10.1
230,10.11
231,10.41
232,10.27
233,10.4
234,10.34
235,10.59
236,10.53
237,10.69
238,10.74
239,10.82
240,11.13
241,11.08
242,11.07
243,11.06
244,10.94
245,11.04
246,10.81
247,10.85
248,10.79
249,10.55
250,10.68
251,10.52
252,10.74
253,10.71
254,10.4
255,9.95
256,10.05
257,9.62
258,9.33
259,9.12
260,8.77
261,8.6
262,8.51
263,8.8
264,8.92
265,9.1
266,9.19
267,9.5
268,9.56
269,9.77
270,10.03
271,10
272,10.01
273,10.04
274,9.77
275,9.52
276,9.1
277,8.62
278,8.14
279,7.84
280,7.42
281,6.94
282,7.15
283,6.69
284,6.5
285,6.5
286,6.5
287,6.5
288,6.5
289,6.5
290,6.5
291,6.5
292,6.5
293,6.5
294,6.5
295,6.5
296,6.5
297,6.5
298,10.7
299,10.73
300,10.75
301,10.91
302,10.82
303,10.76
304,10.62
305,10.53
306,10.48
307,10.15
308,10.06
309,9.71
310,9.58
311,9.45
312,9.41
313,9.21
314,9.03
315,9.04
316,8.95
317,8.4
318,8.03
319,8.09
320,7.64
321,7.31
322,6.65
323,6.65
324,6.65
325,6.65
326,6.65
327,6.65
328,6.65
329,6.65
330,6.65
331,6.65
332,6.65
333,6.65
334,6.65
335,6.65
336,6.65
337,6.65
338,6.65
339,6.65
340,6.65
341,6.65
342,9.86
343,9.84
344,10.03
345,10.03
346,10.12
347,10.12
348,10.32
349,10.2
350,10.02
351,10.04
352,10.13
353,10.12
354,9.99
355,10.18
356,10.36
357,10.2
358,10.2
359,10.39
360,10.41
