"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param"
"1","60",10.6,19,40.075,0.326822949104407,0.4559784698193,0.58500291510267,10.8833333333333,1,4,"log"
"2","60",10.3333333333333,16,34.1083333333333,0.379128960686062,0.511341791618608,0.660110775598388,13.75,1,5,"log"
"3","60",11.6333333333333,19,34,0.403504655585468,0.523260284505959,0.542901834421298,8.65,1,7,"log"
"4","60",10.7333333333333,22,38.6833333333333,0.403064252856507,0.519415609381007,0.443651425021084,7.21666666666667,1,4,"log"
"5","60",11.2833333333333,15,49.75,0.374330693118168,0.498654363706267,0.657119967315764,12.95,1,1,"log"
"6","60",9.33333333333333,14,42.0833333333333,0.356470937716606,0.484429065743945,0.319290491729908,3.6,1,5,"log"
"7","60",10.0833333333333,14,43.1083333333333,0.330156964528488,0.464436755094195,0.49670672723266,5.06666666666667,1,4,"log"
"8","60",11.4833333333333,10,47.35,0.34091415003339,0.473663975394079,0.394093233263356,2.33333333333333,1,6,"log"
"9","60",9.86666666666667,14,41.125,0.286930203829524,0.430988081507113,0.43006786589352,6.43333333333333,1,4,"log"
"10","60",12.1666666666667,11,49.9333333333333,0.375692047965441,0.506728181468666,0.42818104011381,9.53333333333333,1,5,"log"
"11","60",11.1166666666667,11,44.7583333333333,0.34329266777648,0.47520184544406,0.416028128080815,6.63333333333333,1,3,"log"
"12","60",9.8,11,42.675,0.303831322303769,0.447135717031911,0.511639092981933,10.6833333333333,1,3,"log"
"13","60",10.95,22,40.4083333333333,0.368194523462043,0.492118415993849,0.353437171883218,4.68333333333333,1,5,"log"
"14","60",10.3833333333333,16,33.775,0.281961340398537,0.430988081507113,0.605888817131335,11.7833333333333,1,3,"log"
"15","60",11.2,20,36.2416666666667,0.338610019524975,0.463667820069204,0.554023033021652,8.43333333333333,1,3,"log"
"16","60",11.5333333333333,20,35.4583333333333,0.285806371637536,0.424452133794694,0.63061910390593,12.85,1,6,"log"
"17","60",10.9666666666667,16,40.4166666666667,0.361947429819554,0.506343713956171,0.476435883657376,6.6,1,6,"log"
"18","60",11.45,20,33.4,0.313712565913839,0.458669742406767,0.534187919916021,11.3666666666667,1,4,"log"
"19","60",8.25,15,36.4666666666667,0.355265112134264,0.479430988081507,0.509660524537378,4.25,1,6,"log"
"20","60",10.65,16,45.9666666666667,0.343496541772404,0.46482122260669,0.493061747698283,6.38333333333333,1,5,"log"
"21","60",10.8666666666667,14,40.9,0.388547956052658,0.492887351018839,0.530943967553855,9.33333333333333,1,8,"log"
"22","60",11.3,17,43.9916666666667,0.348321880290808,0.482122260668973,0.47661475485511,8.98333333333333,1,4,"log"
"23","60",9.96666666666667,18,29.3666666666667,0.210381705724354,0.354094579008074,0.4886735133376,10.4833333333333,1,2,"log"
"24","60",10.7166666666667,13,42.7416666666667,0.307346716502884,0.440215301806997,0.468694570995307,7.33333333333333,1,5,"log"
"25","60",11.7666666666667,12,51.625,0.397227663848042,0.520569011918493,0.721324632247702,14.7833333333333,1,0,"log"
"26","60",9.48333333333333,25,30.825,0.329131896873832,0.454056132256824,0.348831078720002,8.5,1,6,"log"
"27","60",10.3,12,39.175,0.282944104608831,0.423298731257209,0.340515492854861,4.5,1,9,"log"
"28","60",9.66666666666667,16,41.1583333333333,0.341321865989798,0.467512495194156,0.550626158037084,11.4,1,2,"log"
"29","60",9.25,18,32.8166666666667,0.255451558299313,0.39600153787005,0.543761068990289,13.05,1,1,"log"
"30","60",9.06666666666667,14,39.725,0.316808579301442,0.44559784698193,0.51773047222721,10.2166666666667,1,5,"log"
"31","60",11.5,18,41.625,0.351821520746476,0.490580545943868,0.593684878251479,7.28333333333333,1,3,"log"
"32","60",9.56666666666667,13,47.5916666666667,0.4023584438725,0.521722414455978,0.522906747419881,8.3,1,5,"log"
"33","60",10.8166666666667,14,44.2583333333333,0.402006556074302,0.530565167243368,0.610522238508814,12,1,8,"log"
"34","60",11.0166666666667,12,49.4083333333333,0.359919388739151,0.496347558631296,0.32058161434835,1.9,1,3,"log"
"35","60",10.6166666666667,14,48,0.400763358778626,0.528258362168397,0.534849341275834,9.6,1,1,"log"
"36","60",11.9166666666667,12,43.3416666666667,0.396728424307408,0.52556708958093,0.426895121195698,3.28333333333333,1,4,"log"
