"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param","depleted","lowK"
"1","0",12.69,37,-9.54,0.120999132267262,0.261822376009227,0.451496298801515,14.05,1,32,"monitoring",FALSE,FALSE
"2","0",8.53,31,-18.485,0.0679056824111114,0.185313341022684,0.568169504012401,18.27,1,20,"monitoring",TRUE,TRUE
"3","0",12.34,41,-11.805,0.120133495446763,0.264898116109189,0.465281101526903,14.25,1,28,"monitoring",FALSE,FALSE
"4","0",12.26,41,-10.26,0.117568678239645,0.259131103421761,0.483467778454291,14.04,1,29,"monitoring",FALSE,FALSE
"5","0",12.71,47,-16.175,0.127806541544282,0.272971933871588,0.473175938895137,12.8,1,23,"monitoring",FALSE,FALSE
"6","0",8.31,32,-19.86,0.0615107466766058,0.173010380622837,0.441474634404422,17.13,1,16,"monitoring",TRUE,TRUE
"7","0",8.12,22,-19.72,0.0580378339205838,0.171856978085352,0.540393666817202,18.03,1,15,"monitoring",TRUE,TRUE
"8","0",12.87,45,-16.03,0.121938901207194,0.253748558246828,0.418608460220893,12.92,1,38,"monitoring",FALSE,FALSE
"9","0",8.2,29,-26.295,0.0441884712774937,0.134179161860823,0.556765519799237,18.96,1,17,"monitoring",TRUE,TRUE
"10","0",0,33,-45.715,0.00136121767108031,0.00768935024990388,0.478490273771147,7.65,1,0,"monitoring",TRUE,TRUE
"11","0",7.98,24,-27.545,0.0436773075971294,0.142252979623222,0.436285388650228,16.55,1,10,"monitoring",TRUE,TRUE
"12","0",12.4,35,-9.705,0.106361436262162,0.249134948096886,0.587527464635542,16.41,1,43,"monitoring",FALSE,FALSE
"13","0",8.05,21,-23.615,0.0523705342714367,0.161476355247982,0.437282467415634,18.38,1,12,"monitoring",TRUE,TRUE
"14","0",7.83,26,-27.615,0.0471979703007238,0.147251057285659,0.55377470540191,16.99,1,17,"monitoring",TRUE,TRUE
"15","0",7.86,28,-26.85,0.0466007816584103,0.146097654748174,0.570961940285657,18.67,1,12,"monitoring",TRUE,TRUE
"16","0",0,28,-46.37,0.00239128291095553,0.0130718954248366,0.395891461323892,7.07,1,0,"monitoring",TRUE,TRUE
"17","0",12.39,35,-9.1,0.121906678592725,0.265282583621684,0.42133610318664,14.02,1,27,"monitoring",FALSE,FALSE
"18","0",7.88,28,-30.76,0.0460345382919155,0.144559784698193,0.542679672921219,17.38,1,14,"monitoring",TRUE,TRUE
"19","0",12.67,44,-11.365,0.141666253777932,0.292964244521338,0.387593002818351,10.94,1,32,"monitoring",FALSE,FALSE
"20","0",8.31,26,-24.93,0.0511674118231495,0.150711264898116,0.549898113122395,17.99,1,18,"monitoring",TRUE,TRUE
"21","0",12.28,39,-10.445,0.117444901008592,0.255670895809304,0.413357129540069,12.3,1,40,"monitoring",FALSE,FALSE
"22","0",7.87,18,-27.29,0.0464914455740144,0.150326797385621,0.518318622181304,17.28,1,11,"monitoring",TRUE,TRUE
"23","0",7.69,27,-23.005,0.0455448495082944,0.143021914648212,0.413330996590063,15.78,1,20,"monitoring",TRUE,TRUE
"24","0",12.03,49,-14.775,0.127881040892193,0.279507881584006,0.442608023825595,12.94,1,27,"monitoring",FALSE,FALSE
"25","0",12.25,46,-12.51,0.12706527376454,0.279507881584006,0.486875113541258,14.8,1,26,"monitoring",FALSE,FALSE
"26","0",7.91,35,-27.93,0.0483597778165243,0.152633602460592,0.514705545085004,17.81,1,15,"monitoring",TRUE,TRUE
"27","0",12.34,38,-10.885,0.124055975122168,0.264513648596694,0.436224970863083,13.64,1,38,"monitoring",FALSE,FALSE
"28","0",12.74,29,-6.455,0.130200384028359,0.281814686658977,0.373163958697462,13.79,1,34,"monitoring",FALSE,FALSE
"29","0",0,35,-46.63,0.00179166874035734,0.00961168781237985,0.570045359233518,8.91,1,0,"monitoring",TRUE,TRUE
"30","0",11.9,32,-9.435,0.105365707434053,0.239138792772011,0.471890022597922,15.34,1,36,"monitoring",FALSE,FALSE
"31","0",13.29,41,-3.09,0.141377344930984,0.296039984621299,0.518296558940431,13.43,1,37,"monitoring",FALSE,FALSE
"32","0",13.14,39,-8.92,0.13222349313706,0.277201076509035,0.383977816697739,12.6,1,30,"monitoring",FALSE,FALSE
"33","0",12.73,35,-9.235,0.137132270658742,0.291041906958862,0.482322998107795,14.42,1,27,"monitoring",FALSE,FALSE
"34","0",12.5,42,-7.56,0.128664374242387,0.280276816608997,0.50887759341153,15.55,1,40,"monitoring",FALSE,FALSE
"35","0",7.75,22,-25.37,0.0488864142538976,0.149942329873126,0.375838816367459,17.66,1,10,"monitoring",TRUE,TRUE
"36","0",7.77,25,-27.215,0.0524213555621713,0.15916955017301,0.472545747468829,18.84,1,17,"monitoring",TRUE,TRUE
"37","0",13.21,31,-6.51,0.143486948919695,0.295271049596309,0.482021660874981,15.33,1,36,"monitoring",FALSE,FALSE
"38","0",12.5,36,-6.46,0.138097716962891,0.287581699346405,0.457298133842325,13.2,1,27,"monitoring",FALSE,FALSE
"39","0",8.51,22,-25.14,0.056263584271883,0.164552095347943,0.594147819661095,17.39,1,20,"monitoring",TRUE,TRUE
"40","0",12.62,39,-8.955,0.128123602762184,0.287581699346405,0.450809128309347,13.04,1,32,"monitoring",FALSE,FALSE
