"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param","depleted","lowK"
"1","0",12.38,42,-7.11,0.136630054671723,0.300653594771242,0.51987543682889,15.96,1,18,"sanction",FALSE,FALSE
"2","0",13.1,36,-1.375,0.148894507237755,0.306805074971165,0.51958204869505,16.47,1,30,"sanction",FALSE,FALSE
"3","0",13.11,42,-3.855,0.148587528731371,0.304882737408689,0.512748048022539,14.43,1,18,"sanction",FALSE,FALSE
"4","0",13.28,33,-5.67,0.156404215747055,0.321030372933487,0.514467739207264,14.89,1,18,"sanction",FALSE,FALSE
"5","0",12.69,37,-1.74,0.150809691651672,0.304498269896194,0.423789839441174,13.38,1,27,"sanction",FALSE,FALSE
"6","0",8.36,24,-25.075,0.0500358104270085,0.155709342560554,0.508145682031688,16.81,1,10,"sanction",TRUE,TRUE
"7","0",13.39,52,-3.3,0.157976788498181,0.325643983083429,0.478185624785244,15.05,1,30,"sanction",FALSE,FALSE
"8","0",13.74,48,-2.045,0.164648069095602,0.32718185313341,0.517266394966358,14.64,1,39,"sanction",FALSE,FALSE
"9","0",12.79,36,-2.68,0.14799582515345,0.306805074971165,0.44000945506343,14.09,1,25,"sanction",FALSE,FALSE
"10","0",7.82,30,-24.625,0.0539952236429673,0.164167627835448,0.433443317027765,16.06,1,11,"sanction",TRUE,TRUE
"11","0",11.4,42,-9.06,0.103345310370462,0.245674740484429,0.480730823152761,13.21,1,20,"sanction",FALSE,FALSE
"12","0",12.53,28,-1.845,0.153815717889114,0.311418685121107,0.550846175516797,16.69,1,22,"sanction",FALSE,FALSE
"13","0",12.28,43,-7.64,0.129103062955203,0.277201076509035,0.432212091900807,14,1,29,"sanction",FALSE,FALSE
"14","0",13.12,43,-2.19,0.160642520466386,0.330257593233372,0.493392669934982,12.84,1,30,"sanction",FALSE,FALSE
"15","0",12.42,36,-7.785,0.130717333068757,0.296424452133795,0.507065843838848,16.51,1,19,"sanction",FALSE,FALSE
"16","0",12.97,43,-9.01,0.149985135269052,0.30642060745867,0.470146754549438,14.5,1,35,"sanction",FALSE,FALSE
"17","0",12.66,41,-7.46,0.146080083254869,0.303729334871203,0.430511069943138,13.4,1,21,"sanction",FALSE,FALSE
"18","0",7.82,19,-27.485,0.050655129789864,0.158016147635525,0.466058859298201,18.17,1,4,"sanction",TRUE,TRUE
"19","0",11.64,44,-14.06,0.109525236632452,0.2479815455594,0.470654719343022,14.98,1,18,"sanction",FALSE,FALSE
"20","0",12.4,33,-4.075,0.133383711999207,0.294886582083814,0.476894553750259,16.35,1,27,"sanction",FALSE,FALSE
"21","0",13.24,33,-0.01,0.150877498259918,0.312572087658593,0.455096360513391,11.02,1,24,"sanction",FALSE,FALSE
"22","0",13.93,56,-1.745,0.174458734730361,0.342945021145713,0.521868948406356,14.65,1,33,"sanction",FALSE,FALSE
"23","0",12.23,41,-11.16,0.128819771185182,0.279123414071511,0.455968443776963,13.68,1,12,"sanction",FALSE,FALSE
"24","0",7.91,24,-28.8,0.0434458973277424,0.136485966935794,0.559967495528673,17.21,1,11,"sanction",TRUE,TRUE
"25","0",11.71,49,-11.81,0.112956398879607,0.255670895809304,0.466001921276331,12.93,1,18,"sanction",FALSE,FALSE
"26","0",12.26,41,-10.23,0.132250637486693,0.279123414071511,0.541188518448136,17.42,1,24,"sanction",FALSE,FALSE
"27","0",8.09,34,-29.655,0.0577752441382045,0.169165705497885,0.632228578333842,18.51,1,6,"sanction",TRUE,TRUE
"28","0",7.78,26,-27.47,0.0526048000794222,0.159938485198001,0.502301754729353,17.43,1,5,"sanction",TRUE,TRUE
"29","0",12.33,40,-12.8,0.134099616858238,0.281814686658977,0.467914165946331,15.81,1,19,"sanction",FALSE,FALSE
"30","0",12.77,44,-4.935,0.141127534724801,0.306036139946175,0.467567010676909,13.34,1,26,"sanction",FALSE,FALSE
"31","0",11.7,32,-4.495,0.122463660266905,0.279123414071511,0.458803192651354,15.43,1,31,"sanction",FALSE,FALSE
"32","0",11.35,36,-12.625,0.10575443125962,0.245674740484429,0.516159577140439,15.83,1,28,"sanction",FALSE,FALSE
"33","0",13.14,33,-8.365,0.148206234071751,0.310649750096117,0.463752365967506,13.8,1,25,"sanction",FALSE,FALSE
"34","0",12.71,40,-9.05,0.135554286281911,0.291426374471357,0.419228070950639,13.85,1,27,"sanction",FALSE,FALSE
"35","0",12.83,41,-8.62,0.147814493620415,0.303344867358708,0.51155522434007,15.25,1,21,"sanction",FALSE,FALSE
"36","0",9.34,39,-20.995,0.0813748604045167,0.214532871972318,0.415748149320793,15.51,1,10,"sanction",TRUE,TRUE
"37","0",13.04,46,-5.3,0.157430699417974,0.323337178008458,0.468376147475103,16.92,1,26,"sanction",FALSE,FALSE
"38","0",13.26,41,-4.805,0.167729024607175,0.328719723183391,0.518859106364188,15.1,1,23,"sanction",FALSE,FALSE
"39","0",12.55,42,-6.795,0.143507521773555,0.307574009996155,0.525852679260633,16.47,1,20,"sanction",FALSE,FALSE
"40","0",11.75,48,-9.69,0.126901034559754,0.271049596309112,0.478323782366974,14.28,1,21,"sanction",FALSE,FALSE
"41","0",15.13,56,-1.215,0.183083088035224,0.341791618608228,0.541772973550906,15.09,1,34,"sanction",FALSE,FALSE
"42","0",13.2,37,-6.175,0.144324177720795,0.292195309496348,0.52792266964577,15.3,1,27,"sanction",FALSE,FALSE
"43","0",7.91,18,-25.84,0.0447887393996668,0.13917723952326,0.474665255755656,15.33,1,10,"sanction",TRUE,TRUE
"44","0",13.79,60,-5.79,0.170956980681139,0.334486735870819,0.519421374653006,14.82,1,29,"sanction",FALSE,FALSE
"45","0",11.62,43,-9.835,0.119329461981338,0.263744713571703,0.43924380844789,13.64,1,26,"sanction",FALSE,FALSE
"46","0",11.12,45,-13.765,0.107289654830882,0.249519415609381,0.324427856060015,10.54,1,20,"sanction",FALSE,FALSE
"47","0",12.14,36,-6.635,0.130995666683269,0.279507881584006,0.418347347981128,12.03,1,21,"sanction",FALSE,FALSE
"48","0",12.07,49,-8.885,0.135127436653209,0.289119569396386,0.482625614762374,13.3,1,17,"sanction",FALSE,FALSE
"49","0",12.63,35,-5.955,0.155905782848151,0.326028450595925,0.566721258135303,14.84,1,35,"sanction",FALSE,FALSE
"50","0",7.79,28,-27.375,0.0471737682267894,0.151864667435602,0.612393023595035,18.19,1,6,"sanction",TRUE,TRUE
"51","1",8.65,32,-21.99,0.0622612018061827,0.174548250672818,0.543472961857421,18.9,1,10,"sanction",TRUE,TRUE
"52","1",12.42,37,-4.38,0.122805274790772,0.276047673971549,0.452514995179702,14.65,1,22,"sanction",FALSE,FALSE
"53","1",12.82,42,-9.13,0.146191340677924,0.311418685121107,0.48912255408826,14.27,1,30,"sanction",FALSE,FALSE
"54","1",12.45,45,-5.655,0.13282352067711,0.2879661668589,0.509764588887705,16.2,1,23,"sanction",FALSE,FALSE
"55","1",12.57,51,-5.83,0.142650083000917,0.300269127258747,0.430606054583313,11.82,1,25,"sanction",FALSE,FALSE
"56","1",13.07,27,-1.985,0.159546177552441,0.317185697808535,0.385175236999219,13.07,1,37,"sanction",FALSE,FALSE
"57","1",11.73,37,-8.185,0.131853104254208,0.292579777008843,0.393055036045667,13.18,1,17,"sanction",FALSE,FALSE
"58","1",12.84,35,-8.7,0.142373091721484,0.301422529796232,0.514991207404409,16.76,1,22,"sanction",FALSE,FALSE
"59","1",12.18,36,-8.15,0.129971608443402,0.2879661668589,0.48248202931509,14.8,1,27,"sanction",FALSE,FALSE
"60","1",8.11,30,-23.33,0.0597294149713804,0.176470588235294,0.512453153828365,17.79,1,16,"sanction",TRUE,TRUE
"61","1",12.63,36,-1.46,0.128859842754037,0.270665128796617,0.55542977354516,13.84,1,20,"sanction",FALSE,FALSE
"62","1",12.56,37,-1.245,0.145210358388365,0.310265282583622,0.526688986428495,12.77,1,31,"sanction",FALSE,FALSE
"63","1",13.18,42,-6.485,0.132226185168673,0.274509803921569,0.43492405161682,14.12,1,23,"sanction",FALSE,FALSE
"64","1",11.55,38,-12.21,0.110192360062387,0.25836216839677,0.399233140893217,13.64,1,26,"sanction",FALSE,FALSE
"65","1",13.16,30,2.625,0.149239873229672,0.31603229527105,0.537133918672127,15.71,1,28,"sanction",FALSE,FALSE
"66","1",12.13,39,-10.715,0.122832477487534,0.275278738946559,0.502703201683864,15.21,1,20,"sanction",FALSE,FALSE
"67","1",7.72,23,-26.39,0.0431174139520973,0.133410226835832,0.499421566896497,18.2,1,8,"sanction",TRUE,TRUE
"68","1",13.04,43,-5.94,0.164410322773312,0.330642060745867,0.472014597854894,13.63,1,29,"sanction",FALSE,FALSE
"69","1",11.39,40,-8.245,0.113759641701916,0.262206843521722,0.434007736270214,13.98,1,17,"sanction",FALSE,FALSE
"70","1",12.58,34,0.535,0.14351943919658,0.298346789696271,0.413923211958995,11.73,1,36,"sanction",FALSE,FALSE
"71","1",8.59,32,-26.64,0.0601336302895323,0.172625913110342,0.61310275081127,18.15,1,12,"sanction",TRUE,TRUE
"72","1",11.69,52,-13.42,0.115881901270651,0.260284505959246,0.435249168389783,13.53,1,26,"sanction",FALSE,FALSE
"73","1",8.01,23,-25.295,0.0544494158588118,0.163398692810458,0.533833238375709,17.56,1,7,"sanction",TRUE,TRUE
"74","1",11.65,45,-10.27,0.133015158633992,0.289888504421376,0.505621474417327,14.95,1,24,"sanction",FALSE,FALSE
"75","1",13,43,-4.055,0.154424623994404,0.313725490196078,0.458816760070887,13.64,1,20,"sanction",FALSE,FALSE
"76","1",13.07,34,-2.995,0.145286128033556,0.302960399846213,0.543541876950857,18.21,1,25,"sanction",FALSE,FALSE
"77","1",11.89,45,-9.565,0.118097014925373,0.266051518646674,0.397566515072837,15.03,1,24,"sanction",FALSE,FALSE
"78","1",0,28,-46.635,0.0019323192786008,0.00961168781237985,0.519645984613765,8.21,1,0,"sanction",TRUE,TRUE
"79","1",8.06,37,-25.92,0.0557566890668783,0.163398692810458,0.472594988512691,14.81,1,13,"sanction",TRUE,TRUE
"80","1",7.81,20,-25.085,0.0517702732836154,0.153018069973087,0.420561270517582,16.87,1,7,"sanction",TRUE,TRUE
"81","1",12.55,35,-7.645,0.141864389953341,0.304113802383699,0.460671364185955,13.49,1,28,"sanction",FALSE,FALSE
"82","1",12.67,32,-0.235,0.140197861895387,0.294117647058824,0.423849715596193,14.03,1,25,"sanction",FALSE,FALSE
"83","1",12.37,41,-10.68,0.144283781074579,0.305267204921184,0.449158302336524,13.4,1,18,"sanction",FALSE,FALSE
"84","1",10.34,46,-17.92,0.0952900617574841,0.232602845059592,0.38936306970218,17.73,1,16,"sanction",TRUE,FALSE
"85","1",13.27,27,-0.24,0.166670810542019,0.336409073433295,0.519978238232403,13.67,1,31,"sanction",FALSE,FALSE
"86","1",8.29,27,-25.15,0.0580330553901132,0.170703575547866,0.466733080416853,15.78,1,7,"sanction",TRUE,TRUE
"87","1",8.04,28,-22.035,0.0544622991347342,0.156862745098039,0.544316928851706,16.06,1,9,"sanction",TRUE,TRUE
"88","1",13.2,37,0.71,0.159544970663234,0.325643983083429,0.456108298258713,11.85,1,18,"sanction",FALSE,FALSE
"89","1",12.62,37,-4.995,0.132954403497814,0.281814686658977,0.5144819103484,14.85,1,25,"sanction",FALSE,FALSE
"90","1",12.52,40,-5.755,0.141324302867917,0.304113802383699,0.461199702121504,13.22,1,26,"sanction",FALSE,FALSE
"91","1",11.62,49,-13.325,0.117993844015291,0.266051518646674,0.478636039671949,14.73,1,19,"sanction",FALSE,FALSE
"92","1",11.24,54,-15.145,0.110009677179226,0.25759323337178,0.568727055832681,15.77,1,17,"sanction",FALSE,FALSE
"93","1",12.69,35,-1.335,0.142233683792898,0.295655517108804,0.571705002337091,17.18,1,31,"sanction",FALSE,FALSE
"94","1",11.32,40,-12.1,0.119737932073198,0.282199154171473,0.444000514876205,11.83,1,22,"sanction",FALSE,FALSE
"95","1",11.93,31,-8.09,0.119778124458312,0.277201076509035,0.43571574184215,13.77,1,24,"sanction",FALSE,FALSE
"96","1",8.09,27,-25.18,0.0552993677947192,0.166858900422914,0.580652240798612,18.15,1,11,"sanction",TRUE,TRUE
"97","1",11.73,36,-8.11,0.130641982085381,0.284505959246444,0.455505235930409,13.67,1,23,"sanction",FALSE,FALSE
"98","1",10.95,42,-15.795,0.0941271217940776,0.228758169934641,0.437499128176729,15.36,1,25,"sanction",TRUE,FALSE
