"GreenPatches","K","TotalBM","k.i","Payoffs","beta.i","Loggers","highMinCut","lowMinCut","loggers30Periods","highMC30Periods","lowMC30Periods","highLowMC30Periods"
"2601","0","40181","0","0","0.53229497749631","0","0","100","0","0","0","0"
"2200","0","40624.5","0","32.37","0.5225272661111","100","0","100","0","0","0","0"
"1966","0","35710","0.13","30.405","0.52219515957647","100","0","97","0","0","0","0"
"1784","0","30197","0.48","24.405","0.5137148351303","100","0","91","0","0","0","0"
"1624","0","25989.5","1.15","19.24","0.51627281628682","100","0","83","0","0","0","0"
"1528","0","23352","2.06","11.33","0.51902455387289","100","0","72","0","0","0","0"
"1441","0","21341","2.67","7.785","0.51228262158054","100","1","67","0","0","0","0"
"1379","0","19804","3.58","3.59","0.5109638908031","100","2","60","0","0","0","0"
"1306","0","18189.5","4.31","5.98","0.51957518716427","100","4","56","0","0","0","0"
"1270","0","17031.5","4.87","1.96","0.51447035916336","100","4","53","0","0","0","0"
"1226","0","16269.5","5.74","-0.775","0.5112036734487","100","6","50","0","0","0","0"
"1168","0","15468","6.28","-0.165","0.50403552790438","100","8","47","0","0","0","0"
"1096","0","14464","7.15","-0.045","0.50296413450233","100","13","47","0","0","0","0"
"1033","0","13154.5","7.79","0.99","0.50133819956095","100","16","43","0","0","0","0"
"991","0","12172.5","8.3","-1.315","0.50038212250587","100","20","41","0","0","0","0"
"935","0","11213.5","8.74","-1.175","0.49318211455048","100","24","39","0","0","0","0"
"897","9.31","10491.5","9.31","-5.295","0.48793549153025","100","26","37","0","0","0","0"
"900","9.31","9021","9.48","3.895","0.48540115568806","100","28","38","0","0","0","0"
"932","9.31","8555.5","9.86","-1.295","0.48339587853968","100","33","39","0","0","0","0"
"925","9.31","8583","10.65","-4.15","0.48680869060275","100","36","37","0","0","0","0"
"941","9.31","8585.5","10.86","-2.155","0.49097245190277","100","37","36","0","0","0","0"
"959","9.31","8740.5","11.3","-2.71","0.49271745608082","100","42","35","0","0","0","0"
"970","9.31","8855","11.86","-1.805","0.49716872651509","100","44","34","0","0","0","0"
"994","9.31","9138","11.91","-2.77","0.49441835024865","100","47","34","0","0","0","0"
"1008","9.31","9349.5","12.15","-0.915","0.49846798955252","100","47","33","0","0","0","0"
"1056","9.31","10092","12.26","-5.04","0.49651774082796","100","48","34","0","0","0","0"
"1051","9.31","10364","12.37","-0.375","0.49862522184825","100","50","35","0","0","0","0"
"1055","9.31","10403.5","12.21","1.57","0.4937896968961","100","50","36","0","0","0","0"
"1029","9.31","10383","12.18","0.305","0.49664338927822","100","52","37","0","0","0","0"
"1028","9.31","10270.5","12.17","1.52","0.49613803484714","100","54","36","0","0","0","0"
"1015","9.31","9993.5","11.99","2.82","0.49325621124674","100","53","36","0","0","0","0"
"1035","9.31","9913","11.9","1.37","0.49215170065171","100","53","38","73","44","27","71"
"1029","9.31","9939","11.87","0.835","0.49301609252429","100","53","39","73","43","28","71"
"1016","9.31","10038","12.1","-0.605","0.49582685523139","100","54","38","72","44","27","71"
"999","9.31","10046.5","12.1","-2.26","0.4954975155674","100","54","38","72","44","27","71"
"1010","9.31","10037","12.21","-0.97","0.49148068640371","100","54","39","73","45","27","72"
"1018","9.31","9934","12.1","0.26","0.49062575337421","100","55","39","73","45","27","72"
"1029","9.31","10073.5","12.21","-1.685","0.49421010170688","100","55","37","73","45","27","72"
"1056","9.31","10278.5","12.03","-0.275","0.49172103522577","100","53","37","73","44","27","71"
"1058","9.31","10604","12.07","-1.11","0.49683804465977","100","53","36","73","45","26","71"
"1076","9.31","10687.5","12.18","0.825","0.49761601306739","100","54","36","72","45","25","70"
"1076","9.31","10736.5","11.99","1.4","0.49641883118146","100","52","36","73","45","25","70"
"1063","9.31","10847.5","11.87","1.27","0.49928311105737","100","52","37","74","45","26","71"
"1085","9.31","11123.5","11.8","-0.675","0.49510629257237","100","51","37","74","44","26","70"
"1103","9.31","11508.5","11.71","-1.68","0.49760749877366","100","50","38","74","44","27","71"
"1095","9.31","11743","11.66","-0.45","0.49625824999593","100","50","40","73","43","28","71"
"1111","9.31","11570","11.58","2.75","0.49892590639736","100","49","41","73","42","28","70"
"1126","9.31","11757","11.42","0.585","0.49665378030438","100","49","41","74","42","29","71"
"1127","9.31","11838.5","11.14","1.1","0.49285932679961","100","49","43","74","41","30","71"
"1114","9.31","11742","11.25","2.47","0.49791433819188","100","50","43","73","41","30","71"
"1087","9.31","11317.5","11.09","6.045","0.49474767207728","100","49","43","74","42","30","72"
"1093","9.31","11148","11.02","2.415","0.49520411728498","100","49","42","74","42","30","72"
"1090","9.31","11242.5","10.97","0.405","0.49434507863816","100","48","42","75","42","31","73"
"1094","9.31","11268","11.09","0.665","0.49716523645995","100","48","41","75","43","29","72"
"1096","9.31","11204","10.95","2.21","0.49502499593345","100","47","42","75","42","31","73"
"1097","9.31","11508","10.83","-2.66","0.49086497000656","100","47","43","74","41","31","72"
"1100","9.31","11504.5","10.79","1.8","0.48879686581345","100","46","43","74","41","31","72"
"1096","9.31","11440","10.93","2","0.49227956707635","100","47","43","73","41","30","71"
"1089","9.31","11362","11.01","2.865","0.49791398549506","100","48","43","74","41","31","72"
"1088","9.31","11220","10.82","3.435","0.49064573725067","100","47","44","73","40","31","71"
"1100","9.31","11177","11","2.61","0.49432735723456","100","48","44","73","41","30","71"
