K,unsatisfied,payoffs,TotalBM,GreenPatches,beta.i,k.i,numLoggers,numCheaters
0,0,0,40198,2601,0.51255008,0,1000,0
0,610,-5.6285,131.5,28,0.51261341,2.826,1000,0
6.077,723,-49.5965,7.5,5,0.51273368,6.077,1000,0
6.077,4,-49.987,761.5,196,0.51260039,6.101,1000,0
6.077,0,-48.74724725,800,213,0.51243584,6.069069069,999,1
6.077,9,-48.68768769,954,238,0.51241957,6.084084084,999,0
6.077,7,-48.46596597,1104,284,0.51198852,6.106106106,999,0
6.077,14,-48.2022022,1033,261,0.51200502,6.152152152,999,0
6.077,15,-48.28678679,994,251,0.51189287,6.181181181,999,0
6.077,12,-48.40471414,1122.5,281,0.5121521,6.204613842,997,2
6.077,8,-48.15346038,1135,285,0.51224053,6.23671013,997,0
6.077,16,-48.16298897,1116,284,0.51279425,6.311935807,997,0
6.077,11,-48.23092369,1087,274,0.51269639,6.332329317,996,1
6.077,15,-48.27309237,1001.5,248,0.51289931,6.384538153,996,0
6.077,13,-48.36519115,981.5,252,0.51313179,6.426559356,994,2
6.077,10,-48.42303823,1070.5,269,0.51317854,6.469818913,994,0
6.077,12,-48.30382294,1151,296,0.51294337,6.509054326,994,0
6.077,14,-48.10836694,1128.5,291,0.51296033,6.530241935,992,2
6.077,14,-48.11794355,1063.5,277,0.51264553,6.583669355,992,0
6.077,11,-48.28002018,1152.5,286,0.51278945,6.626639758,991,1
6.077,13,-48.11806256,1030.5,255,0.51287842,6.677093845,991,0
6.077,15,-48.29807692,984.5,257,0.51264104,6.678137652,988,3
6.077,19,-48.31965552,871,221,0.51280517,6.730496454,987,1
6.077,15,-48.53803245,1036,272,0.51243125,6.778904665,986,1
6.077,16,-48.26880081,1045,257,0.51087616,6.81097561,984,2
6.077,14,-48.33180894,1064.5,272,0.51095081,6.867886179,984,0
6.077,12,-48.26117886,995,249,0.51120264,6.909552846,984,0
6.077,13,-48.42581301,1026,255,0.51124499,6.953252033,984,0
6.077,18,-48.36229675,1018,256,0.51158149,7.022357724,984,0
6.077,17,-48.33028455,1164,289,0.51120176,7.068089431,984,0
6.077,20,-48.11965377,1132.5,280,0.51184263,7.093686354,982,2
6.077,17,-48.19093686,990,244,0.51205339,7.16191446,982,0
6.077,14,-48.38481142,817,213,0.51258077,7.193679918,981,1
6.077,15,-48.625,981,252,0.5131451,7.241836735,980,1
6.077,16,-48.37423313,984.5,245,0.51277322,7.298568507,978,2
6.077,14,-48.39161554,940,239,0.51289318,7.346625767,978,0
6.077,14,-48.48004094,1086.5,276,0.51256175,7.377686796,977,1
6.077,13,-48.15983607,982.5,247,0.51304412,7.442622951,976,1
6.077,18,-48.38501027,1022,265,0.51307359,7.469199179,974,2
6.077,13,-48.27852004,1250,324,0.51296781,7.515930113,973,1
6.077,10,-47.8909465,1208,302,0.51317171,7.524691358,972,1
6.077,15,-48.04119464,1153.5,276,0.51329314,7.576725026,971,1
6.077,19,-48.13350515,1001,255,0.51367878,7.64742268,970,1
6.077,18,-48.35677353,1174,292,0.51371645,7.68459152,967,3
6.077,14,-48.06853583,1154.5,280,0.5130632,7.705088266,963,4
6.077,15,-48.11979167,1001.5,247,0.51317116,7.725,960,3
6.077,15,-48.3076121,937.5,249,0.51407081,7.775808133,959,1
6.077,13,-48.38686131,1148,289,0.51407401,7.810218978,959,0
6.077,13,-48.1052356,1165,285,0.51329862,7.786387435,955,4
6.077,20,-48.09633508,1130,287,0.51370809,7.859685864,955,0
6.077,14,-48.07631579,1205,307,0.5137001,7.845263158,950,5
6.077,13,-47.93466807,1064,265,0.51336144,7.881981033,949,1
6.077,21,-48.1935654,939,240,0.51318451,7.957805907,948,1
6.077,16,-48.41005291,995,242,0.51408566,7.976719577,945,3
6.077,6,-48.29396186,922.5,240,0.51396465,7.950211864,944,1
6.077,14,-48.35858051,904.5,226,0.51406945,7.993644068,944,0
6.077,17,-48.45227996,990.5,255,0.51354845,8.025450689,943,1
6.077,11,-48.30414013,1122.5,287,0.51321224,8.049893843,942,1
6.077,14,-48.06269926,1077,277,0.51320396,8.073326249,941,1
6.077,23,-48.13138298,1048,274,0.51330084,8.157446809,940,1
6.077,11,-48.18244681,983.5,259,0.51358819,8.173404255,940,0
6.077,16,-48.26223404,1062,261,0.51486171,8.243617021,940,0
6.077,16,-48.23670213,1051.5,264,0.51500877,8.306382979,940,0
6.077,15,-48.22736954,1195.5,295,0.5149772,8.322683706,939,1
6.077,15,-47.96588486,1013,252,0.51409612,8.355010661,938,1
6.077,22,-48.19581545,967.5,247,0.51478769,8.354077253,932,6
6.077,15,-48.30376344,998.5,253,0.51575668,8.37311828,930,2
6.077,19,-48.26400862,1071,267,0.51514984,8.421336207,928,2
6.077,19,-48.12958963,997.5,251,0.51535261,8.452483801,926,2
6.077,15,-48.22258415,1024,263,0.5155087,8.449511401,921,5
6.077,16,-48.17880435,1118.5,285,0.51562427,8.491304348,920,1
6.077,10,-48.00380849,1080.5,269,0.51567521,8.517954298,919,1
6.077,11,-48.10687023,1045,264,0.51546467,8.531079607,917,2
6.077,17,-48.16393443,1001.5,261,0.51565556,8.559562842,915,2
6.077,23,-48.26393443,1164,294,0.51561525,8.645901639,915,0
6.077,15,-47.95279912,1068,263,0.51568054,8.665203074,911,4
6.077,22,-48.10428101,988,252,0.51580942,8.762897914,911,0
6.077,14,-48.22350993,1052.5,262,0.51547006,8.749448124,906,5
6.077,12,-48.1244469,1025.5,261,0.51537466,8.767699115,904,2
6.077,17,-48.10698448,1051.5,275,0.51541972,8.800443459,902,2
6.077,10,-48.03,1145,293,0.51471338,8.824444444,900,2
6.077,14,-47.91277778,1044,257,0.51441383,8.89,900,0
6.077,14,-48.14516129,1096.5,275,0.51467377,8.911012236,899,1
6.077,21,-47.99888393,951,240,0.5159282,8.959821429,896,3
6.077,21,-48.2328844,1103.5,286,0.51414263,8.978675645,891,5
6.077,16,-47.88135593,1026,256,0.51500169,8.997740113,885,6
6.077,17,-48.12188209,1071.5,275,0.51448617,8.995464853,882,3
6.077,14,-48.05448354,1193.5,300,0.51489547,9.029511918,881,1
6.077,12,-47.82650739,1145,297,0.51547272,9.043230944,879,2
6.077,11,-47.80927835,1178.5,292,0.5151177,8.991981672,873,6
6.077,19,-47.84174312,1078,275,0.51520882,9.040137615,872,1
6.077,14,-48.04660529,1123.5,271,0.5143382,9.046029919,869,3
6.077,22,-47.96770473,1037,259,0.51522157,9.100346021,867,3
6.077,14,-48.04634994,1029.5,263,0.51502114,9.101969873,863,4
6.077,19,-48.07383721,1112.5,276,0.51413944,9.139534884,860,3
6.077,16,-47.91656943,901,236,0.51403174,9.134189032,857,4
6.077,20,-48.23856975,1092,287,0.5145628,9.181711606,853,4
6.077,16,-47.7844523,911.5,228,0.51524281,9.202591284,849,4
6.077,14,-48.28066038,954.5,242,0.51541462,9.262971698,848,1
6.077,13,-48.21453901,971.5,251,0.51577589,9.306146572,846,2
6.077,12,-48.14201183,1164,283,0.51633771,9.326627219,845,1
6.077,12,-47.90876777,1073,263,0.51586024,9.341232227,844,1
6.077,15,-47.95957194,1106.5,279,0.51601378,9.367419738,841,3
6.077,14,-47.86650775,1044.5,271,0.51717656,9.369487485,839,2
6.077,13,-47.95704057,1168,292,0.51751139,9.399761337,838,1
6.077,14,-47.80299401,1022,259,0.51760473,9.405988024,835,3
6.077,16,-48.02888087,1071.5,264,0.51734113,9.388688327,831,4
6.077,13,-47.94759036,1034,267,0.51702659,9.408433735,830,1
6.077,15,-47.88935913,1060,269,0.51638756,9.402660218,827,3
6.077,13,-47.86787879,963,252,0.51652631,9.421818182,825,2
6.077,20,-48.04207317,1025.5,258,0.51688639,9.435365854,820,5
6.077,10,-47.93941248,942.5,246,0.51652546,9.418604651,817,3
6.077,10,-48.15870098,1164.5,285,0.51672,9.430147059,816,1
6.077,11,-47.81311275,1025.5,250,0.51674334,9.486519608,816,0
6.077,17,-47.98955774,965,254,0.51711796,9.49017199,814,2
6.077,19,-48.06034483,1129,276,0.51717854,9.517241379,812,2
6.077,14,-47.78924598,1074,277,0.5169993,9.524103832,809,3
6.077,21,-47.833125,1075,278,0.51626621,9.48,800,9
6.077,14,-47.82057716,1165,297,0.51574893,9.490589711,797,3
6.077,15,-47.63584906,1119.5,275,0.51670222,9.479245283,795,2
6.077,17,-47.81651955,1188,289,0.51655271,9.52332913,793,2
6.077,15,-47.59924147,1013,261,0.5162431,9.536030341,791,2
6.077,13,-47.91157761,1042,263,0.51475802,9.497455471,786,5
6.077,4,-47.88952746,1098,280,0.51567012,9.458492976,783,3
6.077,17,-47.72279129,1079,269,0.51549328,9.486555698,781,2
6.077,13,-47.75128866,983,245,0.51499996,9.443298969,776,5
6.077,16,-48.02322581,1104.5,271,0.51574591,9.473548387,775,1
6.077,14,-47.78007762,1081,281,0.51500842,9.507115136,773,2
6.077,18,-47.69624352,1004,248,0.51416222,9.571243523,772,1
6.077,19,-47.98114434,1006.5,254,0.51468779,9.628088427,769,3
6.077,8,-47.91383812,1078.5,274,0.51455551,9.587467363,766,3
6.077,10,-47.75,1151.5,307,0.51394866,9.622715405,766,0
6.077,15,-47.48363874,1048,257,0.51311537,9.658376963,764,2
6.077,13,-47.80855263,949.5,245,0.51237715,9.638157895,760,4
6.077,13,-47.92668428,1154.5,289,0.5112908,9.652575958,757,3
6.077,10,-47.48872679,1077,277,0.51063861,9.659151194,754,3
6.077,17,-47.69946809,1159,292,0.51165346,9.719414894,752,2
6.077,15,-47.51206434,1131,285,0.50975743,9.697050938,746,6
6.077,10,-47.59121622,1218,283,0.50882055,9.641891892,740,6
