sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
50,200,50,200,50,200,50,200,50,200,50,200,50,200,50,200,50,200,50,200
51,208,52,199,45,210,46,208,45,201,48,202,47,202,47,203,44,197,50,200
45,208,48,197,43,208,43,220,43,200,48,200,49,204,44,208,38,198,45,199
44,210,47,198,43,204,39,208,38,190,43,199,44,204,38,198,37,197,44,198
43,212,47,199,40,202,39,209,36,188,42,191,44,206,36,191,31,196,39,199
42,211,46,188,37,198,39,213,35,191,40,190,41,215,35,186,31,190,33,200
36,205,45,176,36,184,36,211,35,198,38,181,37,210,32,176,32,196,32,197
35,204,44,163,33,169,33,200,36,191,37,171,29,195,31,166,32,192,33,191
35,192,42,163,32,171,33,193,35,186,38,169,27,190,30,162,29,188,33,183
34,185,41,148,32,157,31,183,33,174,36,155,23,193,28,159,28,178,33,175
30,169,41,143,32,143,28,165,33,163,34,153,22,185,26,156,28,164,33,155
28,146,37,144,29,122,28,153,29,138,33,143,22,165,25,155,29,154,34,144
29,124,37,126,30,119,28,143,27,126,31,138,17,145,24,154,27,140,31,124
28,123,36,112,31,99,28,130,25,113,31,119,15,126,23,133,27,130,30,111
27,110,34,95,33,93,29,113,25,106,31,110,15,114,22,125,27,121,29,99
30,114,35,77,35,81,28,100,22,99,32,90,13,105,21,111,28,112,28,92
30,107,33,69,31,75,30,85,19,94,31,86,13,101,21,101,28,94,28,85
31,95,34,57,31,61,30,84,19,87,32,65,12,97,22,92,28,84,28,79
30,81,34,50,33,57,31,83,19,84,35,61,11,84,24,86,29,70,29,74
31,76,35,50,33,55,32,75,18,73,34,60,11,81,24,73,30,60,29,67
32,62,35,43,35,51,33,62,18,53,34,51,9,72,23,69,29,44,30,54
32,51,36,39,36,52,34,55,19,47,33,44,9,56,24,56,28,35,30,43
31,40,37,35,35,40,34,44,18,41,35,36,10,48,24,45,29,31,32,40
32,33,36,32,36,35,34,36,17,41,37,33,11,40,25,35,31,28,33,40
32,33,36,27,37,31,34,30,19,37,37,29,12,34,27,27,31,27,32,32
32,30,33,27,38,29,35,26,21,33,36,27,13,26,27,27,32,25,32,24
31,29,33,26,39,27,36,20,21,33,36,21,13,18,28,23,30,24,33,25
33,28,34,27,39,24,41,20,22,24,37,21,14,18,28,20,32,24,34,21
34,27,36,22,40,22,42,20,22,21,39,20,14,15,31,18,34,19,36,19
34,24,36,21,38,20,45,14,22,18,40,19,14,15,31,13,35,18,39,16
35,20,38,16,38,21,47,13,23,19,38,19,17,12,30,14,42,16,40,13
38,20,38,17,39,19,48,14,23,17,39,17,17,10,32,15,42,15,43,10
39,20,38,20,41,20,48,14,23,15,39,15,17,7,32,14,42,16,45,9
40,15,38,18,41,20,52,12,24,14,42,13,17,5,31,10,42,15,46,6
40,15,42,20,41,20,53,9,24,12,44,11,17,3,31,9,42,5,49,7
40,7,42,16,40,19,52,8,25,12,47,9,18,2,34,8,43,6,49,5
42,6,44,14,40,15,54,8,28,10,49,9,18,2,35,8,46,6,51,5
45,6,46,10,43,14,58,8,27,8,52,9,20,2,37,8,46,6,53,5
47,4,47,7,44,16,60,6,28,8,53,7,21,2,38,8,49,7,56,5
50,3,49,6,46,15,62,6,29,5,58,6,21,2,38,9,51,7,58,5
50,3,49,4,49,15,66,6,29,4,60,4,21,2,42,9,52,7,62,3
51,3,50,2,50,15,68,5,29,3,62,4,21,1,45,9,54,5,64,3
53,3,54,2,53,10,69,5,29,3,65,4,21,1,45,7,55,5,67,2
55,4,57,1,54,8,71,3,30,3,68,4,23,1,45,7,64,6,70,2
57,3,60,1,55,7,73,3,32,3,69,2,23,1,47,7,66,4,72,2
58,3,64,1,58,4,77,2,34,3,71,2,25,0,48,5,69,5,72,1
60,3,66,1,58,4,81,3,35,3,72,1,26,0,49,5,73,5,76,1
63,3,70,1,58,4,81,4,36,3,76,1,27,0,52,4,74,2,77,1
