"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param"
"1","0",0,24,15.5081967213115,0.711892026371439,0.69281045751634,0.396312373002815,0,0.61,0,"enf"
"2","0",0,18,18.6949152542373,0.713048427408379,0.695886197616301,0.4657306254071,0,0.59,0,"enf"
"3","0",0,22,10.5588235294118,0.623839584106944,0.653210303729335,0.31084271632338,0,0.68,0,"enf"
"4","0",0,27,12.7421875,0.681079202760059,0.675893886966551,0.41808090816136,0,0.64,0,"enf"
"5","0",0,21,15.3951612903226,0.700309405940594,0.687812379853902,0.271317440733335,0,0.62,0,"enf"
"6","0",0,20,15.8,0.733801842748808,0.71357170319108,0.26911410515824,0,0.6,0,"enf"
"7","0",0,12,22.2019230769231,0.791391796041863,0.745866974240677,0.519443203884576,0,0.52,0,"enf"
"8","0",0,15,18.3796296296296,0.785096308783064,0.74317570165321,0.415633208088504,0,0.54,0,"enf"
"9","0",0,19,14.6206896551724,0.732090162918144,0.70319108035371,0.249256403812248,0,0.58,0,"enf"
"10","0",0,19,19.3770491803279,0.708024492426684,0.69357939254133,0.360394165559357,0,0.61,0,"enf"
"11","0",0,13,16.6517857142857,0.730467201743956,0.693963860053825,0.424518287511889,0,0.56,0,"enf"
"12","0",0,18,14.6984126984127,0.686889472901274,0.678585159554018,0.397261340712253,0,0.63,0,"enf"
"13","0",0,20,14.241935483871,0.69960479220521,0.681276432141484,0.404736463359986,0,0.62,0,"enf"
"14","0",0,17,16.7338709677419,0.696477737814709,0.683583237216455,0.399154082374826,0,0.62,0,"enf"
"15","0",0,22,8.61111111111111,0.693896830329397,0.677816224529027,0.295871463311501,0,0.63,0,"enf"
"16","0",0,21,14.8508771929825,0.744007527733756,0.711649365628604,0.174417941508229,0,0.57,0,"enf"
"17","0",0,14,16.5238095238095,0.715957605242256,0.696655132641292,0.265474364657116,0,0.63,0,"enf"
"18","0",0,22,12.0142857142857,0.601682543610046,0.628219915417147,0.421923237346608,0,0.7,0,"enf"
"19","0",0,23,12.8629032258065,0.711653855690553,0.69357939254133,0.34740593424383,0,0.62,0,"enf"
"20","0",0,22,13.7230769230769,0.659899805592941,0.655132641291811,0.402780949651296,0,0.65,0,"enf"
"21","0",0,14,18.2333333333333,0.730854069594528,0.713187235678585,0.333377000537585,0,0.6,0,"enf"
"22","0",0,16,15.469696969697,0.65996720659843,0.657823913879277,0.266579529938049,0,0.66,0,"enf"
"23","0",0,17,18.155737704918,0.695058485329104,0.690119184928873,0.379157144006429,0,0.61,0,"enf"
"24","0",0,23,10.844262295082,0.692042209807573,0.678969627066513,0.315655550303144,0,0.61,0,"enf"
"25","0",0,18,18.9083333333333,0.7014586025246,0.686274509803922,0.253450156548794,0,0.6,0,"enf"
"26","0",0,20,18.0322580645161,0.694969176301651,0.688196847366398,0.349530962705202,0,0.62,0,"enf"
"27","0",0,21,13.4385964912281,0.768184417974287,0.728565936178393,0.386443127610429,0,0.57,0,"enf"
"28","0",0,18,13.3538461538462,0.669891994760387,0.670126874279123,0.317994202318687,0,0.65,0,"enf"
"29","0",0,12,23.2894736842105,0.748158967057784,0.729334871203383,0.251362827344816,0,0.57,0,"enf"
"30","0",0,19,17.5,0.719016165478881,0.705497885428681,0.387659034517839,0,0.6,0,"enf"
"31","0",0,17,15.8620689655172,0.736853176272612,0.713956170703576,0.340779500460461,0,0.58,0,"enf"
"32","0",0,16,19.9576271186441,0.722902032812927,0.71280276816609,0.287678954992526,0,0.59,0,"enf"
"33","0",0,12,17.9375,0.772352013406279,0.747020376778162,0.448859098493736,0,0.56,0,"enf"
"34","0",0,16,20.1209677419355,0.68354743083004,0.680507497116494,0.204970102689567,0,0.62,0,"enf"
"35","0",0,24,13.9924242424242,0.64624882466472,0.657439446366782,0.362179051603654,0,0.66,0,"enf"
"36","0",0,23,16.1637931034483,0.729810284696629,0.704728950403691,0.332229729305362,0,0.58,0,"enf"
"37","0",0,18,18.0762711864407,0.736736214605067,0.705497885428681,0.282012369239419,0,0.59,0,"enf"
"38","0",0,25,8.8125,0.690891039960288,0.683583237216455,0.272362002091678,0,0.64,0,"enf"
"39","0",0,20,10.3846153846154,0.648830590273481,0.648981161091888,0.307325237415835,0,0.65,0,"enf"
"40","0",0,23,12,0.762456114140584,0.725105728565936,0.285329113484151,0,0.58,0,"enf"
"41","0",0,17,17.125,0.71733618375261,0.695886197616301,0.279711286738498,0,0.6,0,"enf"
"42","0",0,14,14.6065573770492,0.695676012461059,0.676278354479046,0.289156162135691,0,0.61,0,"enf"
"43","0",0,21,18.6228070175439,0.722981946972306,0.700499807766244,0.377327257981862,0,0.57,0,"enf"
"44","0",0,17,15.2916666666667,0.721044935187251,0.702037677816225,0.353453609045963,0,0.6,0,"enf"
"45","0",0,24,10.4296875,0.671329712032145,0.660899653979239,0.301056268472425,0,0.64,0,"enf"
"46","0",0,25,11.7142857142857,0.696951219512195,0.68242983467897,0.400931753847649,0,0.63,0,"enf"
"47","0",0,22,12.6935483870968,0.705575085408724,0.694348327566321,0.304011330737307,0,0.62,0,"enf"
"48","0",0,20,15.9649122807018,0.766512483835671,0.728565936178393,0.269308003246995,0,0.57,0,"enf"
"49","0",0,20,14.9032258064516,0.706568034073078,0.691657054978854,0.391657309576897,0,0.62,0,"enf"
"50","0",0,15,18.7105263157895,0.73983376752264,0.711264898116109,0.401279265619198,0,0.57,0,"enf"
"51","10",0,13,18.3392857142857,0.755749679202448,0.72241445597847,0.320521434053164,0,0.56,0,"enf"
"52","10",0,25,8.71538461538461,0.67349418503732,0.671664744329104,0.394600019686191,0,0.65,0,"enf"
"53","10",0,23,15.2822580645161,0.701647821461266,0.68319876970396,0.330175684000355,0,0.62,0,"enf"
"54","10",0,11,20.5740740740741,0.789881767268202,0.741637831603229,0.20062619466298,0,0.54,0,"enf"
"55","10",0,26,12.2878787878788,0.670449190167919,0.673971549404075,0.339554602257494,0,0.66,0,"enf"
"56","10",0,21,13.6612903225806,0.692033308476262,0.68242983467897,0.31078916190341,0,0.62,0,"enf"
"57","10",0,17,15.9416666666667,0.705546068750464,0.687812379853902,0.342555078997953,0,0.6,0,"enf"
"58","10",0,21,16.8166666666667,0.715581683168317,0.691272587466359,0.433269757321751,0,0.6,0,"enf"
"59","10",0,24,14.28125,0.677825302247385,0.673202614379085,0.359455161432427,0,0.64,0,"enf"
"60","10",0,30,6.75,0.696933670183782,0.690888119953864,0.300766558204833,0,0.62,0,"enf"
"61","10",0,22,17.3220338983051,0.734884468853595,0.720107650903499,0.405968853678329,0,0.59,0,"enf"
"62","10",0,24,11.5223880597015,0.640003977032637,0.645520953479431,0.359229833052302,0,0.67,0,"enf"
"63","10",0,19,14.5901639344262,0.705225265345506,0.681276432141484,0.354326554580281,0,0.61,0,"enf"
"64","10",0,12,24.875,0.887046245648931,0.803537101114956,0.311912474560361,0,0.44,0,"enf"
"65","10",0,14,15.7105263157895,0.760275334227921,0.72241445597847,0.27427599551451,0,0.57,0,"enf"
"66","10",0,15,17.2307692307692,0.67513571127581,0.670511341791619,0.397867042199578,0,0.65,0,"enf"
"67","10",0,14,16.4745762711864,0.743856916839711,0.721261053440984,0.324738544968665,0,0.59,0,"enf"
"68","10",0,12,18.3301886792453,0.773219507359865,0.727028066128412,0.430562244598168,0,0.53,0,"enf"
"69","10",0,15,16.5508474576271,0.734085294337833,0.713187235678585,0.341880674117233,0,0.59,0,"enf"
"70","10",0,12,19.6388888888889,0.773824587520159,0.727797001153403,0.351298826356029,0,0.54,0,"enf"
"71","10",0,21,16.7704918032787,0.712681213200732,0.695886197616301,0.306521149156013,0,0.61,0,"enf"
"72","10",0,20,16.1692307692308,0.672209290808241,0.673971549404075,0.342675967024298,0,0.65,0,"enf"
"73","10",0,15,14.9590163934426,0.716406618212487,0.694732795078816,0.272275281976326,0,0.61,0,"enf"
"74","10",0,23,14.5079365079365,0.710251436245617,0.690119184928873,0.394278864596604,0,0.63,0,"enf"
"75","10",0,14,18.7450980392157,0.795331713605712,0.7520184544406,0.418754204032022,0,0.51,0,"enf"
"76","10",0,17,16.4916666666667,0.721281424581006,0.69357939254133,0.42219620387605,0,0.6,0,"enf"
"77","10",0,14,17.3770491803279,0.694565973948494,0.670511341791619,0.204577400168278,0,0.61,0,"enf"
"78","10",0,23,13.5416666666667,0.709242745233286,0.697808535178777,0.356582416806667,0,0.6,0,"enf"
"79","10",0,15,21.625,0.748799303222595,0.70319108035371,0.311547105101246,0,0.56,0,"enf"
"80","10",0,16,15.8482142857143,0.74718068458443,0.717031910803537,0.44455980651998,0,0.56,0,"enf"
"81","10",0,24,14.2622950819672,0.705137742071462,0.672049211841599,0.359226794349583,0,0.61,0,"enf"
"82","10",0,19,12.865671641791,0.661498772108253,0.648596693579393,0.254760446798636,0,0.67,0,"enf"
"83","10",0,16,18.448275862069,0.732626971098841,0.700115340253749,0.261866325180079,0,0.58,0,"enf"
"84","10",0,16,16.3518518518519,0.781583862532686,0.730103806228374,0.33622405402174,0,0.54,0,"enf"
"85","10",0,17,14.9921875,0.671840299438553,0.661668589004229,0.316209493540541,0,0.64,0,"enf"
"86","10",0,24,12.2868852459016,0.698925262507721,0.688581314878893,0.333492347638997,0,0.61,0,"enf"
"87","10",0,17,15.3615384615385,0.660101825406681,0.657439446366782,0.293500611273625,0,0.65,0,"enf"
"88","10",0,16,18.3524590163934,0.707293238663071,0.687427912341407,0.320828135294907,0,0.61,0,"enf"
"89","10",0,27,9.59230769230769,0.652123019295695,0.660515186466744,0.354342738180923,0,0.65,0,"enf"
"90","10",0,15,15.0925925925926,0.7920013927923,0.741253364090734,0.274989890060531,0,0.54,0,"enf"
"91","10",0,16,10.6818181818182,0.655982169244409,0.667051134179162,0.266035328425539,0,0.66,0,"enf"
"92","10",0,17,16.1016949152542,0.729905452018761,0.707420222991157,0.303989350792983,0,0.59,0,"enf"
"93","10",0,20,15.8809523809524,0.707638629283489,0.686658977316417,0.244637414756634,0,0.63,0,"enf"
"94","10",0,21,14.4083333333333,0.710080714832276,0.696655132641292,0.291746216813208,0,0.6,0,"enf"
"95","10",0,18,17.1147540983607,0.727987851932986,0.710111495578624,0.39537163571744,0,0.61,0,"enf"
"96","10",0,20,13.5530303030303,0.664643361494438,0.66243752402922,0.28342729353455,0,0.66,0,"enf"
"97","10",0,22,15.031746031746,0.680884130547401,0.682814302191465,0.472673760049643,0,0.63,0,"enf"
"98","10",0,24,10.7377049180328,0.708372894907801,0.687043444828912,0.318633885125512,0,0.61,0,"enf"
"99","10",0,16,16.0230769230769,0.652826920697761,0.647443291041907,0.371001119719725,0,0.65,0,"enf"
"100","10",0,18,17.7363636363636,0.76242216917284,0.721645520953479,0.316360143284784,0,0.55,0,"enf"
"101","20",0,19,17.5350877192982,0.75952736318408,0.735101883890811,0.373452702333768,0,0.57,0,"enf"
"102","20",0,21,16.775,0.718241122834762,0.700499807766244,0.380204069764257,0,0.6,0,"enf"
"103","20",0,24,12.1119402985075,0.645251949981429,0.644752018454441,0.326995306881008,0,0.67,0,"enf"
"104","20",0,20,17.4210526315789,0.754563369873137,0.719723183391003,0.336465996047382,0,0.57,0,"enf"
"105","20",0,10,22.5086206896552,0.735510829789338,0.718569780853518,0.314817879420023,0,0.58,0,"enf"
"106","20",0,18,10.5220588235294,0.631102895871842,0.650134563629373,0.361831248699555,0,0.68,0,"enf"
"107","20",0,19,16.9237288135593,0.7471883728403,0.721645520953479,0.21029801237306,0,0.59,0,"enf"
"108","20",0,25,13.3809523809524,0.710953068951774,0.698577470203768,0.289881935410101,0,0.63,0,"enf"
"109","20",0,10,21.9553571428571,0.760716690356849,0.71280276816609,0.312191336744571,0,0.56,0,"enf"
"110","20",0,14,18.9181818181818,0.748261215162204,0.708573625528643,0.458098778380656,0,0.55,0,"enf"
"111","20",0,19,15.3629032258065,0.690759707651768,0.676278354479046,0.355173975428236,0,0.62,0,"enf"
"112","20",0,21,14.2109375,0.664748004674408,0.662821991541715,0.30124243321121,0,0.64,0,"enf"
"113","20",0,23,11.9333333333333,0.714648097488187,0.690503652441369,0.421950371800908,0,0.6,0,"enf"
"114","20",0,18,16.0593220338983,0.721012155792607,0.699346405228758,0.289303329584523,0,0.59,0,"enf"
"115","20",0,19,16.452380952381,0.66809537885506,0.677816224529027,0.323576305279394,0,0.63,0,"enf"
"116","20",0,19,15.6532258064516,0.690795721497476,0.682045367166474,0.369303397561306,0,0.62,0,"enf"
"117","20",0,17,12.9426229508197,0.705858996947664,0.692041522491349,0.395656637901439,0,0.61,0,"enf"
"118","20",0,20,12.5538461538462,0.663356979798228,0.662053056516724,0.23081179551424,0,0.65,0,"enf"
"119","20",0,15,22.4017857142857,0.751566972658178,0.719338715878508,0.469756664856819,0,0.56,0,"enf"
"120","20",0,12,16.6065573770492,0.714949708580282,0.698961937716263,0.385817323829827,0,0.61,0,"enf"
"121","20",0,20,15.0846153846154,0.669605331874363,0.669357939254133,0.410857653030239,0,0.65,0,"enf"
"122","20",0,18,17.7589285714286,0.763119986091449,0.720876585928489,0.387762345387796,0,0.56,0,"enf"
"123","20",0,17,18.8983050847458,0.734777227722772,0.712418300653595,0.318476402937843,0,0.59,0,"enf"
"124","20",0,23,12.6612903225806,0.718658275707676,0.706651287966167,0.288191356843716,0,0.62,0,"enf"
"125","20",0,19,16.4262295081967,0.704668730650155,0.70319108035371,0.290520605260455,0,0.61,0,"enf"
"126","20",0,12,21.280701754386,0.761984516897424,0.72318339100346,0.320031395675856,0,0.57,0,"enf"
"127","20",0,10,20.698275862069,0.739296807056777,0.705113417916186,0.358407376095113,0,0.58,0,"enf"
"128","20",0,13,18.6779661016949,0.737483588079372,0.706651287966167,0.332190640877053,0,0.59,0,"enf"
"129","20",0,17,18.9568965517241,0.736928023744744,0.704728950403691,0.391603954170639,0,0.58,0,"enf"
"130","20",0,19,15.7786885245902,0.700618126753221,0.681660899653979,0.327419039929123,0,0.61,0,"enf"
"131","20",0,21,14.78125,0.688692623460629,0.683583237216455,0.373379673866782,0,0.64,0,"enf"
"132","20",0,10,26.5196078431373,0.800244643783824,0.750096116878124,0.437797917252389,0,0.51,0,"enf"
"133","20",0,19,13.8032786885246,0.701087359446435,0.707804690503652,0.341426697657459,0,0.61,0,"enf"
"134","20",0,13,19.33,0.832166539305347,0.783160322952711,0.320771808363507,0,0.5,0,"enf"
"135","20",0,17,15.6724137931034,0.754723800977166,0.723952326028451,0.247154912600265,0,0.58,0,"enf"
"136","20",0,13,20.7909090909091,0.783708144683815,0.74317570165321,0.310151884650856,0,0.55,0,"enf"
"137","20",0,24,12.6166666666667,0.760750479320734,0.73356401384083,0.40319849735402,0,0.6,0,"enf"
"138","20",0,14,14.9916666666667,0.721125921513143,0.69357939254133,0.319872137607714,0,0.6,0,"enf"
"139","20",0,18,16.175,0.729408388851461,0.711649365628604,0.288045928322407,0,0.6,0,"enf"
"140","20",0,16,15.1940298507463,0.640874987578257,0.636678200692042,0.309217775462673,0,0.67,0,"enf"
"141","20",0,22,15.1846153846154,0.676517650534193,0.687427912341407,0.438421786888821,0,0.65,0,"enf"
