"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param"
"1","5",0.12,3,-30.4461538461538,0.692229428971131,0.657054978854287,0.315020604026499,0,0.65,0,"mtg"
"2","5",0.28,5,-30.2394366197183,0.651336898395722,0.610534409842368,0.354678844919202,0,0.71,0,"mtg"
"3","5",0.36,7,-30.5,0.682248545832803,0.642445213379469,0.406554788439346,0,0.66,0,"mtg"
"4","5",0.29,3,-29.7539682539683,0.68626534687115,0.646674356016917,0.357531400616487,0,0.63,0,"mtg"
"5","5",0.28,2,-30.0689655172414,0.789021930389254,0.73356401384083,0.452319530170426,0,0.58,0,"mtg"
"6","5",0.33,5,-30.1439393939394,0.70945917195013,0.668973471741638,0.442854219059629,0,0.66,0,"mtg"
"7","5",0.51,7,-31.0882352941176,0.686311380828241,0.649365628604383,0.291634328385235,0,0.68,0,"mtg"
"8","5",0,5,-31.0241935483871,0.743308637745707,0.695886197616301,0.416720157963563,0,0.62,0,"mtg"
"9","5",0.28,5,-29.5681818181818,0.696004434778901,0.658592848904268,0.379441645522802,0,0.66,0,"mtg"
"10","5",0.34,3,-29.2380952380952,0.721611410621047,0.685890042291426,0.441383350118433,0,0.63,0,"mtg"
"11","5",0.16,2,-29.975,0.763186129350672,0.7120338331411,0.398725609933645,0,0.6,0,"mtg"
"12","5",0.12,0,-29.5220588235294,0.686735172472605,0.647827758554402,0.241628163653569,0,0.68,0,"mtg"
"13","5",0.32,1,-30.8260869565217,0.677526109941118,0.637447135717032,0.37778477135431,0,0.69,0,"mtg"
"14","5",0.11,0,-30.1760563380282,0.662091084028223,0.621683967704729,0.356144259246011,0,0.71,0,"mtg"
"15","5",0.4,0,-29.2954545454545,0.697471441406751,0.65359477124183,0.449782174373781,0,0.66,0,"mtg"
"16","5",0.24,2,-29.4636363636364,0.798337241526327,0.742791234140715,0.450199093266341,0,0.55,0,"mtg"
"17","5",0.22,3,-29.5,0.750761051322729,0.702806612841215,0.404246266957199,0,0.61,0,"mtg"
"18","5",0.11,2,-29.4076923076923,0.696344012627448,0.656286043829296,0.452656193176425,0,0.65,0,"mtg"
"19","5",0.38,1,-29.4453125,0.713893771166459,0.666666666666667,0.268808427412011,0,0.64,0,"mtg"
"20","5",0.24,1,-30.1323529411765,0.695218188798362,0.652441368704344,0.373836047298485,0,0.68,0,"mtg"
"21","5",0.25,4,-30.7539682539683,0.746961750031982,0.700499807766244,0.296722558847706,0,0.63,0,"mtg"
"22","5",0.2,1,-29.2338709677419,0.726620854496564,0.681276432141484,0.245378166211544,0,0.62,0,"mtg"
"23","5",0.11,2,-29.9015151515152,0.683802424709763,0.638985005767013,0.329479889632503,0,0.66,0,"mtg"
"24","5",0.36,3,-29.0740740740741,0.795214697714164,0.739331026528258,0.460929587679064,0,0.54,0,"mtg"
"25","5",0.32,4,-29.6967213114754,0.745772818263129,0.700499807766244,0.336008199730266,0,0.61,0,"mtg"
"26","5",0.24,0,-30.6214285714286,0.661495844875346,0.625913110342176,0.342366822486064,0,0.7,0,"mtg"
"27","5",0.22,5,-29.4461538461538,0.698040722243565,0.656286043829296,0.332938642506907,0,0.65,0,"mtg"
"28","5",0.37,2,-30.375,0.72486433363244,0.680123029603999,0.349529671480503,0,0.64,0,"mtg"
"29","5",0.27,1,-29.9140625,0.72079114870349,0.677047289504037,0.300987182975984,0,0.64,0,"mtg"
"30","5",0.23,2,-29.865671641791,0.700448813849113,0.658977316416763,0.305113573554492,0,0.67,0,"mtg"
"31","5",0.2,3,-29.5241935483871,0.72861344358723,0.682045367166474,0.279259661572153,0,0.62,0,"mtg"
"32","5",0.28,3,-30.531746031746,0.727017245050032,0.679738562091503,0.304602089296171,0,0.63,0,"mtg"
"33","5",0.2,5,-29.2456140350877,0.769138396877814,0.710880430603614,0.275415088248187,0.0175438596491228,0.57,0,"mtg"
"34","5",0.24,2,-28.2631578947368,0.75915692070428,0.708189158016148,0.285065019881448,0,0.57,0,"mtg"
